0 327.1835 0.0 400.7277656079581, 1 234.90244981850577 -34.19623177660183 403.42154663998883, 2 274.70714761021054 -48.19535247149793 24.156033904058404, 3 241.1323210225749 -2.2790896380477363 -351.90995829181156, 6 419.46424778320556 34.19586444907418 398.0339858184526, 7 451.768294362376 -5.134982178406219 17.53689440279618, 8 467.012759812065 41.433803446286504 -359.47340570553115, 12 308.462428880672 -98.59965190345591 606.5783460838983, 13 323.855698701735 -258.0065732030877 746.3336698741327, 14 283.8725040390304 -353.59360076962 695.9469514956977, 15 298.0643983560619 -385.29266829988927 799.3733434737335, 17 428.1823226993931 -218.29321039972262 724.4719684944591, 18 516.3137733212722 -171.52399580294815 492.642044348726, 19 501.100071958993 -249.8458067432918 241.07230764610858, 25 220.6662866775955 -255.90916107151423 706.560144113344, 26 177.1666331796525 -202.70426067023294 455.9181864524563, 27 172.60973953275686 -287.9610076843888 218.82082787352783, 
0 327.1965 0.0 400.3121320001785, 1 235.0214455392005 -34.15649579854693 403.10904317092616, 2 274.63026294369774 -48.502811919369265 23.979629126090742, 3 241.2636778878965 -2.185286756340446 -352.0685146026641, 6 419.37127906593264 34.156141657837765 397.51522596929317, 7 451.86407952261686 -5.415714375131486 17.219978529552805, 8 466.9309817675836 41.436425469358355 -359.4894057055311, 12 308.5218996474837 -98.16252812339334 606.2290229292108, 13 323.8912099927821 -257.0189724934841 746.8196029660002, 14 283.7965111157283 -352.46038294783045 696.6051234172045, 15 297.8971791976362 -383.9932201950643 800.2008083582585, 17 428.1617876960398 -217.36545761427044 724.4189912614999, 18 516.4139194414958 -170.84529202940632 490.9399334388512, 19 501.2615861614672 -250.07432783246549 241.12835709421893, 25 220.7592486834639 -254.9316560305037 707.2425821517583, 26 177.1533438483515 -201.3498847399353 456.448387032425, 27 172.26712547180205 -287.1734803174447 219.28618697500542, 
0 327.207 0.0 400.543453229486, 1 235.02211217740268 -34.39217333969297 403.1309748626694, 2 274.373859213646 -47.14716018850039 22.176444470314607, 3 240.70450902115203 0.18209611804581982 -352.32121101943585, 6 419.39159257297536 34.39181351864184 397.95593626383686, 7 451.84361791054874 -3.6343993844683524 16.858630178022167, 8 466.83031902097116 43.948908712931924 -359.49790570553114, 12 308.39246401711017 -98.24540371869209 606.5455521976976, 13 323.585604051902 -256.9301663944548 747.5886679753626, 14 283.4931177123266 -352.3296413887945 697.7672942357967, 15 297.71481773376297 -383.89217464654035 801.3929765537098, 17 427.92122340672506 -217.21306650988677 725.3172463247006, 18 516.0746884920759 -170.60861509967108 491.77950971650944, 19 501.0571248700729 -249.53133341628205 241.8324635624075, 25 220.4086376844757 -254.76261712482403 707.8952630276838, 26 176.75311187365836 -200.47457136746522 457.0136316773003, 27 169.0617550585687 -285.88312314594026 220.361460636159, 
0 327.21299999999997 0.0 400.93368631889314, 1 234.6559491314269 -34.40751920165265 403.4712772372361, 2 273.72228017553385 -47.51760750334374 21.807804844491216, 3 240.0019568956073 -0.49907777345237037 -352.77499366630127, 6 419.76971389651965 34.40714201555367 398.3960984619184, 7 452.42587683525295 -3.1923355971056964 16.76125802899287, 8 467.317366149941 45.200384030066914 -359.51240570553114, 12 308.30029384282346 -98.80593295367109 606.8758589332617, 13 323.0304800099009 -258.26574861313804 747.6238961913048, 14 282.47855120730924 -353.8965969333849 697.1595799684887, 15 296.9607691081811 -385.83989713906465 800.8134711455311, 17 427.84198026557726 -218.82410927172333 725.5399402004539, 18 516.2636590638956 -172.06292176064062 491.68218544278295, 19 501.28909747668547 -250.49511426108816 241.2969654678933, 25 219.55542657776977 -255.5586197185408 708.1105825817385, 26 175.66628329075647 -199.9535902105503 456.83533121628045, 27 163.46058333708072 -283.63544836431333 220.00477195869746, 
0 327.211 0.0 400.64514144486265, 1 234.82844840612273 -33.89721422261067 403.4341393906322, 2 274.2536859639768 -48.16243350130607 23.852830106417798, 3 240.83677754514582 -1.9685382068047375 -352.259198045069, 6 419.59324201643346 33.896870217680004 397.85615393361803, 7 451.9717293924923 -5.13935892088017 17.12780096925303, 8 466.9262965367976 42.25285234822178 -359.49990570553115, 12 308.5799602650219 -98.48024055235223 606.4518524967943, 13 323.4690598564146 -257.78854846334093 746.960149494324, 14 283.2921365290983 -353.24864011805766 696.6242208573642, 15 297.6238309947563 -384.9862405236173 800.166020384803, 17 427.9489320361397 -218.41088853370152 724.6314180691277, 18 516.2157567860827 -171.5037863809879 491.21844398643424, 19 501.09709030494497 -249.6000638162914 241.35976064641596, 25 220.2460970400648 -255.1150263110094 707.4325023899453, 26 176.18350464338585 -199.9814900895968 456.81129065562124, 27 166.72682650535472 -284.4479529377884 220.26931616526855, 
0 327.21500000000003 0.0 401.0098448761202, 1 234.5933921212884 -33.58597353623959 403.79850120543205, 2 273.7750656500628 -47.83586984956159 23.80070004189662, 3 240.37278606275083 -1.7719461361760978 -352.4263414369869, 6 419.8362837370752 33.585627009886295 398.2211949761781, 7 452.0899115772608 -4.955574129451662 17.044252893772125, 8 466.9286870375706 42.96796840342205 -359.5249057055311, 12 308.630280399774 -98.86978508544918 606.6652727334417, 13 322.97613833125354 -258.72432639307806 747.0199901198885, 14 282.6779664172707 -354.2080919854642 696.5322523600453, 15 297.2315912307474 -386.17316330259484 800.011021602864, 17 427.69882148386785 -219.64696634665427 724.7704232539054, 18 516.046494916083 -172.2547303973483 491.4300119393967, 19 500.944292093141 -249.16212689134088 241.6541550557028, 25 219.65036545447055 -255.40177266964446 707.5486368852798, 26 175.09440780200134 -198.62032364638017 457.1190560849279, 27 160.90946606865344 -281.680016025971 221.25324386380163, 
0 329.94899999999996 0.0 399.47434342349004, 1 236.474219293678 -33.08804717818733 402.8065322208704, 2 276.2839594004435 -47.50027059390054 23.701547758994536, 3 243.95715378902122 -2.6065069956382843 -352.2248370649521, 6 423.4234450931301 33.08770352778353 396.1421660151508, 7 454.27851960974215 -6.033250982469909 13.788588516657626, 8 469.0615927262552 43.224415592169606 -359.5609057055311, 12 314.6372712463156 -97.6904209350902 605.3936191680914, 13 330.31486676348703 -257.0093460661261 748.6064756202546, 14 288.3318091828545 -353.01787469100685 698.3869070717498, 15 302.9393141707782 -384.3430007822869 802.1179906025756, 17 435.34901119814356 -218.18378220983612 725.9831284998476, 18 517.9875160149584 -168.12251857098263 492.68839339013846, 19 502.5275731915191 -246.17913906747683 243.34069333649984, 25 225.61663186979706 -253.00739727527167 709.4176290073893, 26 177.81181813267864 -192.5672379204117 459.8620066969785, 27 159.00314689078965 -276.483935649041 229.350272331248, 
0 329.95799999999997 0.0 403.0346505937911, 1 234.70699077397586 -30.082370287706347 406.11206690786054, 2 270.9178743000602 -43.420583413956976 20.65933446465823, 3 238.93898223150836 1.5886966684230401 -354.0016543321697, 6 425.20865687019136 30.082035359444497 399.95724728470697, 7 454.4576144336077 -0.7898751061869973 12.92130318763924, 8 467.6957370265504 54.28031660467367 -359.56690570553116, 12 314.88391117862676 -98.41574606985787 607.6579809821687, 13 326.30919178913547 -258.1537222180854 753.5071137223595, 14 282.66489442733337 -354.4555018866274 701.8688530965819, 15 299.11445031972806 -387.2842137648929 804.5254249259415, 17 433.6906435203855 -221.4984467432232 730.5612795017223, 18 518.2397124650342 -162.13058171542045 499.830824930815, 19 512.5243903064161 -229.76336029987294 252.42409073981247, 25 219.40645204949604 -247.3005045810511 716.5614325817394, 26 157.7697954893783 -166.43851972974113 480.64307954077213, 27 100.29026064564286 -242.40735936824916 284.5939989273323, 
0 329.97900000000004 0.0 404.90752260500756, 1 233.14358540462015 -27.218870454357003 408.3757574878032, 2 268.37266021907203 -44.97417212098135 23.01607550562278, 3 237.2199602564448 -0.9698186153945016 -355.1002288375864, 6 426.81401359463746 27.218558543904166 401.43930852545407, 7 456.0039400032593 -2.2116765355935684 13.097297061764834, 8 467.2605942156199 56.84281086457811 -359.57390570553116, 12 315.18804665163236 -101.17112182024701 608.4449162356708, 13 324.11784650605495 -264.7214368603079 751.6640127775554, 14 278.5083503368818 -361.27710613174156 698.5211569261119, 15 296.8849541855664 -394.42916056487024 800.518124405244, 17 433.6492560550244 -230.6815576468572 729.0872499093471, 18 525.6995517265443 -169.6812486174987 499.47646173649025, 19 517.0846773905832 -232.84996451669275 252.48443563815295, 25 216.30133296384622 -249.2769438041036 716.0854201575985, 26 150.21044611834026 -162.37580462195373 484.29910777358486, 27 69.3545119686894 -233.27644106402983 300.689994498881, 
0 329.97900000000004 0.0 409.05540358794025, 1 231.2170318412729 -26.581531281124743 412.18641899045286, 2 266.9533888484567 -44.94508643729955 26.317847295617298, 3 237.0181373934692 0.9925016656699199 -351.06969205486365, 6 428.74052315878055 26.581205775436928 405.92441149035113, 7 458.53859898155054 -5.110878101067897 16.55147475328232, 8 468.8847828055788 51.48514372109956 -359.57690570553115, 12 314.91834538426383 -102.9153428376543 612.0822913748277, 13 325.8775980750161 -268.5728997089121 754.4474641957754, 14 279.19449522425873 -365.8694696371009 700.8022272376304, 15 298.31490133730745 -399.2934125597485 802.5635169832349, 17 436.8391981803859 -233.38496120162608 733.2188306241005, 18 529.8452980140531 -162.0212747881711 506.6649757052542, 19 527.7090214477157 -219.11004842032654 256.920575921517, 25 214.8917751636685 -251.45643347759483 719.6329025825983, 26 133.96411941579157 -164.48218921499557 504.11695397153306, 27 53.73611577540743 -246.10006137985016 348.24096375671337, 
